,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
49,2022-03-25,298.85259553444786,256.11157094856543,330.3905465441645,298.85259553444786,298.85259553444786,-5.7455928712692055,-5.7455928712692055,-5.7455928712692055,-5.7455928712692055,-5.7455928712692055,-5.7455928712692055,0.0,0.0,0.0,293.10700266317866
50,2022-03-28,297.77967021260963,261.0641154808717,332.98798642429057,297.77967021260963,297.77967021260963,-1.338823944047796,-1.338823944047796,-1.338823944047796,-1.338823944047796,-1.338823944047796,-1.338823944047796,0.0,0.0,0.0,296.4408462685618
51,2022-03-29,297.4220284386636,254.1873217817803,330.6702334562407,297.4220284386636,297.4220284386636,-4.373080797675061,-4.373080797675061,-4.373080797675061,-4.373080797675061,-4.373080797675061,-4.373080797675061,0.0,0.0,0.0,293.0489476409885
52,2022-03-30,297.0643866647175,257.5592768005818,329.36883367791404,297.0643866647175,297.0643866647175,-3.5406784866294636,-3.5406784866294636,-3.5406784866294636,-3.5406784866294636,-3.5406784866294636,-3.5406784866294636,0.0,0.0,0.0,293.52370817808804
53,2022-03-31,296.70674489077146,255.6157342782116,329.03247260095924,296.70674489077146,296.70674489077146,-4.2196111842005966,-4.2196111842005966,-4.2196111842005966,-4.2196111842005966,-4.2196111842005966,-4.2196111842005966,0.0,0.0,0.0,292.4871337065709
54,2022-04-01,296.3491031168254,253.40635125286548,328.1122422065872,296.3491031168254,296.3491031168254,-5.745592871261832,-5.745592871261832,-5.745592871261832,-5.745592871261832,-5.745592871261832,-5.745592871261832,0.0,0.0,0.0,290.6035102455636
55,2022-04-04,295.27617779498723,258.37481709855285,331.72083492857104,295.27617779498723,295.27617779498723,-1.3388239440464411,-1.3388239440464411,-1.3388239440464411,-1.3388239440464411,-1.3388239440464411,-1.3388239440464411,0.0,0.0,0.0,293.9373538509408
56,2022-04-05,294.9185360210412,254.18220614265266,327.4662549288199,294.9185360210412,294.9185360210412,-4.373080797681021,-4.373080797681021,-4.373080797681021,-4.373080797681021,-4.373080797681021,-4.373080797681021,0.0,0.0,0.0,290.54545522336014
57,2022-04-06,294.5515178776639,253.397613641163,330.1596324557523,294.5515178776639,294.5515178776639,-3.5406784866238348,-3.5406784866238348,-3.5406784866238348,-3.5406784866238348,-3.5406784866238348,-3.5406784866238348,0.0,0.0,0.0,291.01083939104007
58,2022-04-07,294.1844997342866,252.44677928401532,325.59683580258496,294.1844997342866,294.1844997342866,-4.2196111842032105,-4.2196111842032105,-4.2196111842032105,-4.2196111842032105,-4.2196111842032105,-4.2196111842032105,0.0,0.0,0.0,289.9648885500834
59,2022-04-08,293.81748159090927,248.7666676921908,324.36200745924884,293.81748159090927,293.81748159090927,-5.745592871254457,-5.745592871254457,-5.745592871254457,-5.745592871254457,-5.745592871254457,-5.745592871254457,0.0,0.0,0.0,288.0718887196548
60,2022-04-11,292.7164271607774,255.3103472370183,330.97633174513027,292.7164271607774,292.7164271607774,-1.3388239440450855,-1.3388239440450855,-1.3388239440450855,-1.3388239440450855,-1.3388239440450855,-1.3388239440450855,0.0,0.0,0.0,291.3776032167323
61,2022-04-12,292.3494090174001,253.58993849946148,324.627990434871,292.3494090174001,292.3494090174001,-4.373080797676741,-4.373080797676741,-4.373080797676741,-4.373080797676741,-4.373080797676741,-4.373080797676741,0.0,0.0,0.0,287.97632821972337
62,2022-04-13,291.9823908740228,252.5668994860319,327.0961322637286,291.9823908740228,291.9823908740228,-3.540678486632807,-3.540678486632807,-3.540678486632807,-3.540678486632807,-3.540678486632807,-3.540678486632807,0.0,0.0,0.0,288.44171238739
63,2022-04-14,291.61537273064556,248.70648313697433,320.34503429636754,291.61537273064556,291.61537273064556,-4.219611184205824,-4.219611184205824,-4.219611184205824,-4.219611184205824,-4.219611184205824,-4.219611184205824,0.0,0.0,0.0,287.39576154643976
64,2022-04-18,290.1473001571363,253.6758016955692,324.16477188758967,290.1473001571363,290.1473001571363,-1.3388239440555845,-1.3388239440555845,-1.3388239440555845,-1.3388239440555845,-1.3388239440555845,-1.3388239440555845,0.0,0.0,0.0,288.8084762130807
65,2022-04-19,289.77985118794663,247.347558085226,321.0801247639102,289.77985118794663,289.77985118794663,-4.373080797672462,-4.373080797672462,-4.373080797672462,-4.373080797672462,-4.373080797672462,-4.373080797672462,0.0,0.0,0.0,285.4067703902742
66,2022-04-20,289.4124022187569,247.9585307026597,320.9965764684702,289.4124022187569,289.4124022187569,-3.5406784866271783,-3.5406784866271783,-3.5406784866271783,-3.5406784866271783,-3.5406784866271783,-3.5406784866271783,0.0,0.0,0.0,285.8717237321297
67,2022-04-21,289.04495324956713,245.01279753096608,320.68186739334715,289.04495324956713,289.04495324956713,-4.219611184190879,-4.219611184190879,-4.219611184190879,-4.219611184190879,-4.219611184190879,-4.219611184190879,0.0,0.0,0.0,284.8253420653763
68,2022-04-22,288.67750428037743,245.01599913807195,322.2552312798476,288.67750428037743,288.67750428037743,-5.745592871276874,-5.745592871276874,-5.745592871276874,-5.745592871276874,-5.745592871276874,-5.745592871276874,0.0,0.0,0.0,282.93191140910056
69,2022-04-25,287.57515737280823,249.96057225777204,323.4186268148306,287.57515737280823,287.57515737280823,-1.3388239440660819,-1.3388239440660819,-1.3388239440660819,-1.3388239440660819,-1.3388239440660819,-1.3388239440660819,0.0,0.0,0.0,286.23633342874217
70,2022-04-26,287.2077084036185,247.21673838153,318.8934375363368,287.2077084036185,287.2077084036185,-4.373080797678422,-4.373080797678422,-4.373080797678422,-4.373080797678422,-4.373080797678422,-4.373080797678422,0.0,0.0,0.0,282.83462760594006
71,2022-04-27,286.8402594344288,244.82366509853975,319.34795823401447,286.8402594344288,286.8402594344288,-3.5406784866288503,-3.5406784866288503,-3.5406784866288503,-3.5406784866288503,-3.5406784866288503,-3.5406784866288503,0.0,0.0,0.0,283.29958094779994
72,2022-04-28,286.4728104652391,243.20474673958137,320.0217898396956,286.4728104652391,286.4728104652391,-4.219611184196016,-4.219611184196016,-4.219611184196016,-4.219611184196016,-4.219611184196016,-4.219611184196016,0.0,0.0,0.0,282.25319928104307
73,2022-04-29,286.1053614798381,243.07401956937335,317.97924412340916,286.1053614798381,286.1053614798381,-5.74559287127225,-5.74559287127225,-5.74559287127225,-5.74559287127225,-5.74559287127225,-5.74559287127225,0.0,0.0,0.0,280.35976860856584
74,2022-05-02,285.0030145236352,248.57833200992482,319.17697396413547,285.0030145236352,285.0030145236352,-1.3388239440336234,-1.3388239440336234,-1.3388239440336234,-1.3388239440336234,-1.3388239440336234,-1.3388239440336234,0.0,0.0,0.0,283.6641905796016
75,2022-05-03,284.63556553823423,242.56196278493533,318.73824883767617,284.63556553823423,284.63556553823423,-4.373080797674144,-4.373080797674144,-4.373080797674144,-4.373080797674144,-4.373080797674144,-4.373080797674144,0.0,0.0,0.0,280.26248474056007
76,2022-05-04,284.26811655283325,244.58283453868012,318.1300066451064,284.26811655283325,284.26811655283325,-3.54067848662322,-3.54067848662322,-3.54067848662322,-3.54067848662322,-3.54067848662322,-3.54067848662322,0.0,0.0,0.0,280.72743806621
77,2022-05-05,283.90066756743227,245.91553307335639,318.3979111980109,283.90066756743227,283.90066756743227,-4.219611184196105,-4.219611184196105,-4.219611184196105,-4.219611184196105,-4.219611184196105,-4.219611184196105,0.0,0.0,0.0,279.6810563832362
78,2022-05-06,283.5332185820313,241.00486463155985,315.8437338977392,283.5332185820313,283.5332185820313,-5.745592871262127,-5.745592871262127,-5.745592871262127,-5.745592871262127,-5.745592871262127,-5.745592871262127,0.0,0.0,0.0,277.78762571076913
79,2022-05-09,282.4308716258284,243.54836941158575,317.5045232104228,282.4308716258284,282.4308716258284,-1.3388239440441216,-1.3388239440441216,-1.3388239440441216,-1.3388239440441216,-1.3388239440441216,-1.3388239440441216,0.0,0.0,0.0,281.09204768178427
